class_id,class_name,pred_pixels,target_pixels,dice,iou,region
0,background,3898414.0,4030971.0,0.9237959816555856,0.8583836948283572,background
1,T1,66724.0,45200.0,0.56815338980408,0.3967976637747034,thoracic
2,T2,64143.0,72796.0,0.45881742966241307,0.29770478754313995,thoracic
3,T3,78992.0,59623.0,0.3443494571341893,0.20798438331307478,thoracic
4,T4,79793.0,66737.0,0.29760458609637885,0.17481519491385267,thoracic
5,T5,119559.0,63115.0,0.24536606195054925,0.13983888983021758,thoracic
6,T6,40541.0,63126.0,0.10682280765232116,0.056425150320427754,thoracic
7,T7,54636.0,87665.0,0.19475618583710053,0.10788359129964901,thoracic
8,T8,83176.0,74016.0,0.15760344038400426,0.08554262629684374,thoracic
9,T9,44506.0,86921.0,0.10051207134682742,0.05291535146806721,thoracic
10,T10,31814.0,95385.0,0.07639997170515178,0.03971718163282886,thoracic
11,T11,75228.0,88074.0,0.17914048818030923,0.0983823776754775,thoracic
12,T12,30136.0,101537.0,0.09020831910042143,0.047234638212041026,thoracic
13,L1,98760.0,80394.0,0.12365897496498175,0.06590431766948539,lumbar
14,L2,76065.0,77060.0,0.11628408163842427,0.06173121993134382,lumbar
15,L3,140626.0,63256.0,0.25262651926480695,0.1445749990223682,lumbar
16,L4,135841.0,49709.0,0.2695769334450575,0.15578671982586403,lumbar
17,L5,123926.0,37295.0,0.18466576935272286,0.10172549288207383,lumbar
