epoch,train_loss,val_loss,val_last_acc,val_last_within1_acc,val_last_mae,val_overprediction_rate,val_underprediction_rate,lr,epoch_seconds
1,3.4427689772385817,3.1924825509389243,0.05555555555555555,0.4166666666666667,2.5,0.5,0.4444444444444444,0.0006,4.16188907623291
2,2.7504101866608734,10.19192377726237,0.3055555555555556,0.4444444444444444,3.0833333333333335,0.6944444444444444,0.0,0.0006,2.0898001194000244
3,2.6491736181966075,3.269123395284017,0.2777777777777778,0.4722222222222222,2.4444444444444446,0.6111111111111112,0.1111111111111111,0.0006,2.131208896636963
4,2.51233931688162,3.8264835675557456,0.3055555555555556,0.4444444444444444,2.75,0.6388888888888888,0.05555555555555555,0.0006,2.024873971939087
5,2.4109795093536377,3.2467955218421087,0.19444444444444445,0.5,2.3055555555555554,0.6111111111111112,0.19444444444444445,0.0006,1.9156560897827148
6,2.323751076118096,2.92201214366489,0.19444444444444445,0.5,2.111111111111111,0.6111111111111112,0.19444444444444445,0.0006,2.0230979919433594
7,2.2060943533490587,3.199854267968072,0.2222222222222222,0.3611111111111111,2.3333333333333335,0.5833333333333334,0.19444444444444445,0.0006,1.8487558364868164
8,2.157391391434036,3.133867104848226,0.19444444444444445,0.3611111111111111,2.4722222222222223,0.6111111111111112,0.19444444444444445,0.0006,1.8485541343688965
9,2.0334735833681545,3.2284201516045465,0.19444444444444445,0.3888888888888889,2.1944444444444446,0.5555555555555556,0.25,0.0003,1.8546860218048096
10,2.00777887297677,3.2962187661064997,0.2777777777777778,0.3888888888888889,2.0833333333333335,0.5277777777777778,0.19444444444444445,0.0003,1.8581809997558594
11,1.886049102236341,3.2081488503350153,0.16666666666666666,0.4444444444444444,2.361111111111111,0.5833333333333334,0.25,0.0003,1.8561809062957764
12,1.8348160090146366,3.3442460695902505,0.25,0.3611111111111111,2.2222222222222223,0.5277777777777778,0.2222222222222222,0.0003,1.8515708446502686
13,1.8702558787552628,3.395607736375597,0.2222222222222222,0.3611111111111111,2.2777777777777777,0.5555555555555556,0.2222222222222222,0.00015,1.8676080703735352
