epoch,lr,train_loss,train_dice,train_iou,train_pixel_accuracy,val_loss,val_dice,val_iou,val_pixel_accuracy
1,0.0008,3.2718449234962463,0.3782253844452829,0.23321698392471266,0.5328535556793437,3.1825910329818727,0.38216851913938915,0.23622269912580704,0.5514225103917143
2,0.0008,1.1756603419780731,0.6160834879167689,0.44517388335039615,0.8266452789306723,1.2331224918365478,0.5937553706128609,0.4222276538555553,0.8131811679938266
3,0.0008,1.0178060248494147,0.7257298317288233,0.5695258743391044,0.9000584602356004,1.0566731572151185,0.7238171099782486,0.567173494988757,0.9028699825971744
4,0.0008,0.9102476373314857,0.7897550908909623,0.6525580772510094,0.9356659412384064,0.9267273068428039,0.7786874030380229,0.6375823887964902,0.9345028217022364
5,0.0008,0.8773820221424102,0.7871641992859477,0.6490278394013116,0.9333498954772981,0.8899229288101196,0.7798590048887682,0.6391548255600604,0.9323272705078257
6,0.0008,1.6184937924146652,0.5858853628034335,0.41431249447007285,0.901837873458867,1.8058140993118286,0.49986378399789827,0.3332122634374249,0.8940556844075728
7,0.0008,0.7778264969587326,0.7258021100322919,0.5696149049899457,0.8948395252227833,0.7942111253738403,0.7254220649891664,0.5691468878152413,0.8977864583333534
8,0.0004,0.7176498286426067,0.743611339082735,0.5918640960512099,0.904587602615361,0.7568769156932831,0.7310035078377509,0.576048485833415,0.901980669070532
9,0.0004,0.7153688296675682,0.8381775839178024,0.7214334758183455,0.9527382850646995,0.8087859690189362,0.8229818400508156,0.6992091269743551,0.9516313993013916
10,0.0004,0.5769943296909332,0.8220001101454896,0.6977930280172228,0.9418975353240995,0.6299137055873871,0.801238996236066,0.6683892733584876,0.935891958383426
11,0.0004,0.49126580730080605,0.8411645702971626,0.7258706014130966,0.9480924129486109,0.5106907993555069,0.8373534501101085,0.7202132498389835,0.9482566637870694
12,0.0004,0.45201874896883965,0.8726592793351748,0.7740865413080945,0.9601541996002216,0.4731796085834503,0.8630809399478678,0.7591401800480376,0.9579397348257294
13,0.0004,0.40808742940425874,0.8770137724016431,0.780965741919451,0.961182641983034,0.4548437923192978,0.865772354361528,0.7633144525183246,0.958727518717456
14,0.0004,0.4742823526263237,0.8753354920097407,0.7783080961396862,0.9623212814331072,0.5088308155536652,0.8654011009595963,0.7627374763818955,0.9604996901292144
15,0.0004,0.5665418468415737,0.8668504902367735,0.7649921592587922,0.9617401123046894,0.5327617645263671,0.869162607563197,0.7686008734557551,0.962602468637327
16,0.0004,0.4163870379328728,0.8904453383249209,0.8025249850968671,0.967207813262941,0.5031083226203918,0.8733013161371591,0.7750974849311382,0.9634094238281321
17,0.0004,0.6172534964978695,0.8494729496539669,0.7383337483447447,0.9559050083160422,0.5446791708469391,0.8562441014917836,0.7486248618334915,0.9585806039663542
18,0.0004,0.3666042543947697,0.8789378091936131,0.7840223463083885,0.9618883609771747,0.40522634983062744,0.8713240555180982,0.7719877966551418,0.9607729789538338
19,0.0004,0.34098436310887337,0.888755273229684,0.7997835686588705,0.9655138015747087,0.385526630282402,0.8795728433749009,0.7850334920696234,0.9636877989157723
20,0.0004,0.3234422966837883,0.8852545193476001,0.7941315167562195,0.9637579441070574,0.3690833479166031,0.8760611011024025,0.7794561625741554,0.9618870661808969
21,0.0004,0.3527977101504803,0.8813489248777976,0.7878675884538444,0.9629416465759295,0.4179366588592529,0.8705656559878301,0.7707979313745736,0.9610540927984852
22,0.0002,0.4245606929063797,0.8781845855523609,0.7828244952266026,0.9629513740539568,0.45429532825946806,0.8719040028269432,0.7728987648321012,0.9619887914413136
23,0.0002,0.2992459189146757,0.8902733805935868,0.8022456747679165,0.9654386043548601,0.35505451560020446,0.875721648104769,0.7789188919529392,0.9618549835987654
24,0.0002,0.2708817310631275,0.9052041695816916,0.8268246411167373,0.9705889701843275,0.3438930928707123,0.8917174257829487,0.8045939244447937,0.9674246372320777
